[15:39:11] Node 3 booted. Assumed initial leader: node 9
[15:39:11] Starting election.
[15:39:13] Received ELECTION from node 3 — replied OK, contesting.
[15:39:16] Leader 9 unreachable (health check failed) — starting election.
[15:39:21] Leader 9 unreachable (health check failed) — starting election.
[15:39:26] Leader 9 unreachable (health check failed) — starting election.
[15:39:31] Leader 9 unreachable (health check failed) — starting election.
[15:39:36] Leader 9 unreachable (health check failed) — starting election.
[15:39:41] Leader 9 unreachable (health check failed) — starting election.
[15:39:46] Leader 9 unreachable (health check failed) — starting election.
[15:39:51] Leader 9 unreachable (health check failed) — starting election.
[15:39:56] Leader 9 unreachable (health check failed) — starting election.
[15:40:01] Leader 9 unreachable (health check failed) — starting election.
[15:40:06] Leader 9 unreachable (health check failed) — starting election.
[15:40:11] Leader 9 unreachable (health check failed) — starting election.
[15:40:16] Leader 9 unreachable (health check failed) — starting election.
[15:40:21] Leader 9 unreachable (health check failed) — starting election.
[15:40:26] Leader 9 unreachable (health check failed) — starting election.
[15:40:31] Leader 9 unreachable (health check failed) — starting election.
[15:40:36] Leader 9 unreachable (health check failed) — starting election.
[15:40:41] Leader 9 unreachable (health check failed) — starting election.
[15:40:46] Leader 9 unreachable (health check failed) — starting election.
[15:40:51] Leader 9 unreachable (health check failed) — starting election.
[15:40:56] Leader 9 unreachable (health check failed) — starting election.
[15:41:01] Leader 9 unreachable (health check failed) — starting election.
[15:41:06] Leader 9 unreachable (health check failed) — starting election.
[15:41:11] Leader 9 unreachable (health check failed) — starting election.
[15:41:16] Leader 9 unreachable (health check failed) — starting election.
[15:41:21] Leader 9 unreachable (health check failed) — starting election.
[15:41:26] Leader 9 unreachable (health check failed) — starting election.
[15:41:31] Leader 9 unreachable (health check failed) — starting election.
[15:41:36] Leader 9 unreachable (health check failed) — starting election.
[15:41:41] Leader 9 unreachable (health check failed) — starting election.
[15:41:46] Leader 9 unreachable (health check failed) — starting election.
[15:41:51] Leader 9 unreachable (health check failed) — starting election.
[15:41:56] Leader 9 unreachable (health check failed) — starting election.
[15:42:01] Leader 9 unreachable (health check failed) — starting election.
[15:42:06] Leader 9 unreachable (health check failed) — starting election.
[15:42:11] Leader 9 unreachable (health check failed) — starting election.
[15:42:16] Leader 9 unreachable (health check failed) — starting election.
[15:42:21] Leader 9 unreachable (health check failed) — starting election.
[15:42:26] Leader 9 unreachable (health check failed) — starting election.
[15:42:31] Leader 9 unreachable (health check failed) — starting election.
[15:42:36] Leader 9 unreachable (health check failed) — starting election.
[15:42:41] Leader 9 unreachable (health check failed) — starting election.
[15:42:46] Leader 9 unreachable (health check failed) — starting election.
[15:42:51] Leader 9 unreachable (health check failed) — starting election.
[15:42:53] New leader recognized: node 9
